271,0.67,18.6,4,1,6,1,0,20670.2
415,0.62,20.1,2,1,6,1,0,21302.315
491,0.59,20.4,6,1,6,1,0,21701.781
528,0.38,22,9,1,6,1,0,21649.6969999999
671,0.38,22,7,1,6,1,0,21527.438
700,0.57,22.3,9,1,6,1,0,21824.196
663,0.33,23,7,1,6,1,0,21814.0959999999
585,0.56,23.2,4,1,6,1,0,21759.4349999999
494,0.58,22.7,6,1,6,1,0,20988.763
319,0.64,22.3,4,1,6,0,0,20440.091
195,0.75,21.6,4,1,6,0,0,19515.587
78,0.36,24,4,1,6,0,0,19066.732
-12,0.79,16.6,4,1,6,0,0,18275.5969999999
-26,0.77,16.6,4,1,6,0,0,17755.634
-20,0.79,15.5,2,1,6,0,0,17293.084
-25,0.8,15.2,0,2,6,0,0,16430.533
-19,0.8,14.9,0,2,6,0,0,16130.0339999999
-19,0.8,14.7,0,2,6,0,0,16267.356
-17,0.81,14.6,2,2,6,0,0,14995.72
-16,0.79,14.7,2,2,6,0,0,14933.801
-34,0.79,14.5,4,2,6,0,0,14929.711
-94,0.83,14.8,4,2,6,0,0,16504.701
-8,0.78,16.7,4,2,6,0,0,18381.344
120,0.64,18,7,2,6,0,0,19153.438
266,0.71,20.7,0,2,6,1,0,20346.316
393,0.53,21,6,2,6,1,0,21371.046
496,0.53,24.3,0,2,6,1,0,21817.871
621,0.5,25.4,2,2,6,1,0,21796.229
689,0.49,26,2,2,6,1,0,21811.631
713,0.49,26.2,0,2,6,1,0,22022.653
693,0.23,26,7,2,6,1,0,22366.943
354,0.26,27,7,2,6,1,0,21860.498
163,0.26,27,6,2,6,1,0,21282.506
98,0.26,27,6,2,6,0,0,20583.547
43,0.26,26,6,2,6,0,0,20007.405
58,0.41,24,2,2,6,0,0,19614.945
-16,0.8,18.3,4,2,6,0,0,18734.743
-46,0.83,16.7,4,2,6,0,0,17869.92
-49,0.89,14.2,4,2,6,0,0,17127.2529999999
-48,0.89,13.1,4,3,6,0,0,16920.682
-48,0.9,12.2,2,3,6,0,0,16807.228
-59,0.9,11.5,0,3,6,0,0,16574.314
-62,0.68,18,7,3,6,0,0,16533.591
-58,0.72,17,6,3,6,0,0,16355.7329999999
-64,0.81,13.6,7,3,6,0,0,16315.291
-74,0.81,14.4,7,3,6,0,0,17382.54
1,0.77,16,9,3,6,0,0,18161.5439999999
108,0.72,17,7,3,6,0,0,19657.005
226,0.71,19.3,11,3,6,1,0,20928.8909999999
394,0.64,20,7,3,6,1,0,21892.361
419,0.59,22.5,15,3,6,1,0,22555.356
538,0.54,23.8,13,3,6,1,0,22675.3069999999
